id,ensembl_gene,symbol,entrez_id,transcript_type,baseMean,lfcSE,stat,log2FoldChange,pvalue,padj
ENSG00000109846,ENSG00000109846,CRYAB,1410,protein_coding,409.3954316170569,0.23195542610799705,-4.660483942775363,-1.0810245388159372,3.1546677204324182e-6,6.899258304585699e-4
ENSG00000173334,ENSG00000173334,TRIB1,10221,protein_coding,273.50120852587924,0.20461241357933327,3.369480643726077,0.6894375670216382,7.530998035160807e-4,0.03407646766116556
ENSG00000177570,ENSG00000177570,SAMD12,401474,protein_coding,87.59706205502631,0.4264356231917446,-4.70983763269433,-2.0084425460299378,2.479142103167765e-6,5.656265594491234e-4
ENSG00000163661,ENSG00000163661,PTX3,5806,protein_coding,10613.48320793145,0.18124944827444792,-3.726447616574673,-0.6754165745277908,1.9419740846085112e-4,0.01472981730533692
ENSG00000135074,ENSG00000135074,ADAM19,8728,protein_coding,278.3740130103081,0.16944809823041873,-3.461036868540923,-0.5864661152796232,5.380991124477911e-4,0.02929849192340213
ENSG00000163827,ENSG00000163827,LRRC2,79442,protein_coding,310.50324724633106,0.17867159482375078,-3.799783529405624,-0.6789133831839234,1.4482253569848486e-4,0.01218180329125332
ENSG00000168685,ENSG00000168685,IL7R,3575,protein_coding,1166.534230797791,0.19639495945789084,-4.168095283839494,-0.8185929042862835,3.071555414221588e-5,0.00380235378730336
ENSG00000121743,ENSG00000121743,GJA3,2700,protein_coding,94.59330178524075,0.26946989447230574,3.7331142774164223,1.0059619103884612,1.8912673322808517e-4,0.01442861042685426
ENSG00000109861,ENSG00000109861,CTSC,1075,protein_coding,1502.2480980410917,0.1454154355634008,-4.563419883693648,-0.6635916900459956,5.03270201313987e-6,9.094617354201384e-4
ENSG00000183454,ENSG00000183454,GRIN2A,2903,protein_coding,68.84310656282854,0.3255390132996368,-3.3843833237737604,-1.1017488078490552,7.133833141560657e-4,0.03307779451715863
ENSG00000105989,ENSG00000105989,WNT2,7472,protein_coding,217.43327861575017,0.6074993708668007,-3.385494531646386,-2.0566857980481736,7.105012513512042e-4,0.03306696338848915
ENSG00000065665,ENSG00000065665,SEC61A2,55176,protein_coding,146.09684143772,0.2661708241709366,3.1988950259782585,0.8514525255009427,0.00137955391166373,0.04973216051882297
ENSG00000113916,ENSG00000113916,BCL6,604,protein_coding,1097.4360661322646,0.16398445816496043,4.207295013820752,0.6899309931815357,2.5844565474987407e-5,0.00329254745789111
