ensembl_gene,symbol,entrez_id,transcript_type,comparaison,baseMean,log2FoldChange,pvalue,padj
ENSG00000005187,ACSM3,NA,protein_coding,5-ARI,8.152593548,-0.200173275,2.05321e-4,0.022942926
ENSG00000005189,REXO5,NA,protein_coding,5-ARI,6.351903674,-0.311647241,4.51396e-4,0.038527738
ENSG00000006071,ABCC8,NA,protein_coding,5-ARI,6.295308793,-0.296097817,2.70654e-5,0.004438937
ENSG00000007062,PROM1,NA,protein_coding,5-ARI,6.684206058,-1.053642508,0.001510898,0.082842149
ENSG00000012223,LTF,NA,protein_coding,5-ARI,10.68990391,-1.90804357,3.44315e-6,6.85722e-4
ENSG00000016490,CLCA1,NA,protein_coding,5-ARI,1.755711712,-0.183736077,0,0
ENSG00000030582,GRN,NA,protein_coding,5-ARI,9.886444681,-0.138439864,5.59148e-4,0.044942453
ENSG00000042753,AP2S1,NA,protein_coding,5-ARI,7.686486627,-0.20819947,1.25814e-4,0.015993557
ENSG00000044090,CUL7,NA,protein_coding,5-ARI,8.941383176,-0.133419948,6.47949e-4,0.049211109
ENSG00000044574,HSPA5,NA,protein_coding,5-ARI,11.44752962,-0.2248411,3.27275e-4,0.031880874
ENSG00000049449,RCN1,NA,protein_coding,5-ARI,9.672862394,-0.144343975,4.87824e-5,0.007378701
ENSG00000050767,COL23A1,NA,protein_coding,5-ARI,5.541285669,-0.299387501,0.001689856,0.088988051
ENSG00000051108,HERPUD1,NA,protein_coding,5-ARI,10.98103111,-0.375002867,1.28419e-4,0.016267066
ENSG00000057149,SERPINB3,NA,protein_coding,5-ARI,2.738114562,-0.147107826,0,0
ENSG00000058262,SEC61A1,NA,protein_coding,5-ARI,10.8691256,-0.179246575,2.97101e-5,0.00479751
ENSG00000059377,TBXAS1,NA,protein_coding,5-ARI,7.207039048,-0.299008889,1.19753e-4,0.015331868
ENSG00000063241,ISOC2,NA,protein_coding,5-ARI,7.049561012,-0.150623865,4.72002e-4,0.039812509
ENSG00000063245,EPN1,NA,protein_coding,5-ARI,10.0539838,-0.167607353,1.2091e-4,0.015424817
ENSG00000063761,ADCK1,NA,protein_coding,5-ARI,6.2416067,-0.190577759,9.6306e-4,0.063717015
ENSG00000064886,CHI3L2,NA,protein_coding,5-ARI,6.072270229,-0.809466323,3.857e-85,1.79566e-82
ENSG00000065000,AP3D1,NA,protein_coding,5-ARI,10.23864833,-0.114117467,3.70645e-5,0.005802129
ENSG00000067141,NEO1,NA,protein_coding,5-ARI,10.73273708,-0.169334794,5.80182e-4,0.046014041
ENSG00000068120,COASY,NA,protein_coding,5-ARI,8.192271268,-0.151368352,2.96303e-4,0.029587384
ENSG00000070010,UFD1,NA,protein_coding,5-ARI,8.984605761,-0.130153805,5.6191e-4,0.045063404
ENSG00000070190,DAPP1,NA,protein_coding,5-ARI,5.614040643,-0.171749521,1.01015e-5,0.001828875
ENSG00000070540,WIPI1,NA,protein_coding,5-ARI,7.96434024,-0.157776819,1.30295e-4,0.016331462
ENSG00000072415,MPP5,NA,protein_coding,5-ARI,9.679707902,-0.149953347,0.001125291,0.069550724
ENSG00000073464,CLCN4,NA,protein_coding,5-ARI,5.767497084,-0.397352783,0.001869036,0.094634463
ENSG00000075223,SEMA3C,NA,protein_coding,5-ARI,10.89438001,-0.186480347,3.51608e-4,0.032900438
ENSG00000075790,BCAP29,NA,protein_coding,5-ARI,8.88779822,-0.233733304,2.25922e-4,0.024175708
