ensembl_gene,symbol,entrez_id,transcript_type,comparaison,baseMean,log2FoldChange,pvalue,padj
ENSG00000008277,ADAM22,NA,protein_coding,5-ARI,9.550151535,0.289814797,0.001168071,0.070851094
ENSG00000008311,AASS,NA,protein_coding,5-ARI,9.409164183,0.160546027,3.77352e-4,0.034073852
ENSG00000009724,MASP2,NA,protein_coding,5-ARI,6.564356115,0.12793616,4.14844e-4,0.036538931
ENSG00000024526,DEPDC1,NA,protein_coding,5-ARI,5.154153451,0.258474317,9.01422e-4,0.061473387
ENSG00000047932,GOPC,NA,protein_coding,5-ARI,8.868555696,0.07561436,0.001390241,0.078712713
ENSG00000049246,PER3,NA,protein_coding,5-ARI,9.955409457,0.279764701,5.49923e-4,0.044400093
ENSG00000053747,LAMA3,NA,protein_coding,5-ARI,9.683865804,0.194656931,0.002011416,0.098332658
ENSG00000059758,CDK17,NA,protein_coding,5-ARI,9.152490236,0.131326347,4.06899e-4,0.036194805
ENSG00000061936,SFSWAP,NA,protein_coding,5-ARI,9.339230337,0.118713646,6.66339e-4,0.049972658
ENSG00000064309,CDON,NA,protein_coding,5-ARI,7.983223806,0.227151675,1.80313e-4,0.020986589
ENSG00000065526,SPEN,NA,protein_coding,5-ARI,10.87153583,0.11145821,2.80847e-4,0.028360026
ENSG00000069275,NUCKS1,NA,protein_coding,5-ARI,11.688734030000001,0.10936752,9.07155e-4,0.061473387
ENSG00000069431,ABCC9,NA,protein_coding,5-ARI,10.80093726,0.196913596,2.15363e-4,0.023681965
ENSG00000069667,RORA,NA,protein_coding,5-ARI,9.746290313,0.12752698,0.001377547,0.078509228
ENSG00000072736,NFATC3,NA,protein_coding,5-ARI,9.975884002,0.089051738,0.001499239,0.082430566
ENSG00000077942,FBLN1,NA,protein_coding,5-ARI,11.94776283,0.255794956,0.00192776,0.096248366
ENSG00000078579,FGF20,NA,protein_coding,5-ARI,0.869136524,0.340088654,1.70868e-6,3.5612e-4
ENSG00000079150,FKBP7,NA,protein_coding,5-ARI,7.047064577,0.179737519,0.001628509,0.087132542
ENSG00000081248,CACNA1S,NA,protein_coding,5-ARI,0.57031145,1.514664315,0,0
ENSG00000082175,PGR,NA,protein_coding,5-ARI,9.162167869,0.492226237,1.02228e-5,0.001837098
ENSG00000082684,SEMA5B,NA,protein_coding,5-ARI,5.628393568,0.078345335,3.97652e-10,9.50335e-8
ENSG00000083067,TRPM3,NA,protein_coding,5-ARI,6.481804993,0.290786997,9.67978e-4,0.063746154
ENSG00000083168,KAT6A,NA,protein_coding,5-ARI,10.73533524,0.061107877,4.50382e-4,0.038527738
ENSG00000083642,PDS5B,NA,protein_coding,5-ARI,9.923477754,0.103063818,8.9358e-4,0.06124864
ENSG00000086712,TXLNG,NA,protein_coding,5-ARI,7.952553721,0.110678495,4.35664e-4,0.037815196
ENSG00000087085,ACHE,NA,protein_coding,5-ARI,6.025402497,0.214227127,5.10755e-4,0.04199434
ENSG00000087494,PTHLH,NA,protein_coding,5-ARI,4.209631075,0.539944774,7.86547e-5,0.010928742
ENSG00000088205,DDX18,NA,protein_coding,5-ARI,9.501965534,0.096975905,5.77169e-4,0.045890448
ENSG00000089280,FUS,NA,protein_coding,5-ARI,11.01852172,0.083916432,8.66519e-4,0.060036376
