ensembl_gene,symbol,entrez_id,transcript_type,comparaison,baseMean,log2FoldChange,pvalue,padj
ENSG00000019169,MARCO,NA,protein_coding,Diet,2.157083014,-0.118276637,1.38949e-12,4.0352e-10
ENSG00000056291,NPFFR2,NA,protein_coding,Diet,1.096151462,-0.629434398,0,0
ENSG00000091482,SMPX,NA,protein_coding,Diet,1.060706403,-0.501501967,2.12864e-7,5.3661e-5
ENSG00000100095,SEZ6L,NA,protein_coding,Diet,4.253103365,-0.300406054,1.88312e-15,5.74446e-13
ENSG00000102245,CD40LG,NA,protein_coding,Diet,3.414077921,-0.130755749,1.0480800000000001e-26,4.3731300000000004e-24
ENSG00000104921,FCER2,NA,protein_coding,Diet,1.741389859,-0.206069854,4.896129999999999e-20,1.77734e-17
ENSG00000112164,GLP1R,NA,protein_coding,Diet,3.419711751,-0.061184927,9.66409e-5,0.021133493
ENSG00000112175,BMP5,NA,protein_coding,Diet,3.796686572,-0.166378087,2.05573e-6,5.07653e-4
ENSG00000112818,MEP1A,NA,protein_coding,Diet,0.889749646,-0.032924944,2.21105e-6,5.42321e-4
ENSG00000114854,TNNC1,NA,protein_coding,Diet,2.734317762,-0.086278596,7.22808e-5,0.015999171
ENSG00000122025,FLT3,NA,protein_coding,Diet,3.367939223,-0.168714762,1.92813e-48,1.0143899999999999e-45
ENSG00000124157,SEMG2,NA,protein_coding,Diet,0.743825371,-2.454915121,0,0
ENSG00000133020,MYH8,NA,protein_coding,Diet,0.613232093,-0.378766847,1.73617e-27,7.41469e-25
ENSG00000140279,DUOX2,NA,protein_coding,Diet,6.669506093,-0.092382121,3.73388e-4,0.078348801
ENSG00000140511,HAPLN3,NA,protein_coding,Diet,5.885599165,-0.253599928,1.15592e-5,0.002742556
ENSG00000141506,PIK3R5,NA,protein_coding,Diet,5.730918181,-0.276782411,1.35722e-5,0.003178603
ENSG00000146469,VIP,NA,protein_coding,Diet,2.789748149,-0.125219759,2.88823e-9,7.76634e-7
ENSG00000147697,GSDMC,NA,protein_coding,Diet,2.618615201,-0.48031245,9.4512e-281,1.1066999999999998e-277
ENSG00000148677,ANKRD1,NA,protein_coding,Diet,2.858848201,-0.500094554,3.0505099999999998e-92,2.17131e-89
ENSG00000156234,CXCL13,NA,protein_coding,Diet,3.016978195,-0.527157334,1.3125400000000001e-55,7.219149999999999e-53
ENSG00000159763,PIP,NA,protein_coding,Diet,2.502981163,-0.512829062,0,0
ENSG00000163508,EOMES,NA,protein_coding,Diet,2.97493869,-0.309179642,4.1442e-153,3.7608999999999995e-150
ENSG00000163736,PPBP,NA,protein_coding,Diet,2.33874061,-0.709415094,2.2774e-193,2.1756e-190
ENSG00000163993,S100P,NA,protein_coding,Diet,3.978986064,-0.17604013,4.18804e-13,1.22605e-10
ENSG00000167656,LY6D,NA,protein_coding,Diet,1.64904445,-0.204702263,1.03457e-15,3.18271e-13
ENSG00000167754,KLK5,NA,protein_coding,Diet,1.0722606160000001,-0.189246203,1.10326e-21,4.17183e-19
ENSG00000168530,MYL1,NA,protein_coding,Diet,0.787694374,-0.867578832,0,0
ENSG00000169040,PMCHL2,NA,processed_transcript,Diet,1.441739356,-0.141893599,2.75382e-5,0.006408107
ENSG00000170477,KRT4,NA,protein_coding,Diet,4.871193633,-0.50468655,1.77133e-6,4.40418e-4
ENSG00000171495,MROH2B,NA,protein_coding,Diet,2.065333113,-0.498171663,1.4915e-71,9.17674e-69
ENSG00000172367,PDZD3,NA,protein_coding,Diet,1.433851815,-0.261966686,1.3657e-33,6.27549e-31
ENSG00000174948,GPR149,NA,protein_coding,Diet,2.460612692,-0.158689973,1.4855e-31,6.41966e-29
ENSG00000176177,ENTHD1,NA,protein_coding,Diet,0.602990646,-0.437522871,1.2555999999999997e-119,1.0128999999999999e-116
ENSG00000177455,CD19,NA,protein_coding,Diet,2.827293373,-0.203677966,1.70992e-12,4.92633e-10
ENSG00000177791,MYOZ1,NA,protein_coding,Diet,2.508880438,-0.098357328,1.2206e-5,0.002877196
ENSG00000188162,OTOG,NA,protein_coding,Diet,0.574926415,-0.820208817,0,0
ENSG00000189127,ANKRD34B,NA,protein_coding,Diet,0.952271928,-0.25571424,0,0
ENSG00000196136,SERPINA3,NA,protein_coding,Diet,9.634559048,-0.629456944,1.22318e-19,4.35321e-17
ENSG00000196610,HLA-DQB2,NA,protein_coding,Diet,0.706794189,-0.359641978,4.96155e-62,2.85887e-59
ENSG00000197616,MYH6,NA,protein_coding,Diet,2.254134126,-0.473459349,3.5608799999999995e-63,2.11908e-60
ENSG00000197888,UGT2B17,NA,protein_coding,Diet,0.914279633,-0.127533752,3.23106e-5,0.007470753
ENSG00000197905,TEAD4,NA,protein_coding,Diet,5.817496092,-0.214808404,1.75663e-7,4.45927e-5
ENSG00000198914,POU3F3,NA,protein_coding,Diet,1.264685959,-0.312162468,5.461959999999999e-66,3.3045799999999996e-63
ENSG00000205927,OLIG2,NA,protein_coding,Diet,0.734043209,-0.49130181,0,0
ENSG00000206301,HLA-DQA2,NA,protein_coding,Diet,0.531683469,-0.330982015,1.05778e-19,3.80182e-17
ENSG00000206452,HLA-C,NA,protein_coding,Diet,4.263158482,-0.349670519,0,0
ENSG00000211829,TRDC,NA,TR_C_gene,Diet,1.709322391,-0.303118134,8.45e-181,7.865199999999998e-178
ENSG00000211974,IGHV2-70D,NA,IG_V_gene,Diet,1.117139024,-0.202087384,1.27163e-75,8.24314e-73
ENSG00000214856,KRT16P1,NA,processed_transcript,Diet,0.948552396,-0.120100555,1.02046e-20,3.7417700000000004e-18
ENSG00000215182,MUC5AC,NA,protein_coding,Diet,2.64222294,-0.891421048,0,0
ENSG00000219700,PTCHD3P3,NA,processed_pseudogene,Diet,0.442133951,-0.251676265,4.00404e-4,0.083057516
ENSG00000223355,NOTCH4,NA,protein_coding,Diet,3.297246583,-0.353847267,1.07078e-47,5.55292e-45
ENSG00000224320,HLA-A,NA,protein_coding,Diet,6.119557923,-0.249391831,4.7524e-23,1.89579e-20
ENSG00000224455,VPS52,NA,protein_coding,Diet,6.034631946,-0.147963329,1.10808e-7,2.8327e-5
ENSG00000224712,NPIPA3,NA,protein_coding,Diet,1.451151167,-0.199290664,4.36708e-8,1.12432e-5
ENSG00000225201,HLA-E,NA,protein_coding,Diet,2.46300735,-0.303805853,8.13488e-37,3.8351199999999996e-34
ENSG00000225510,PCDH8P1,NA,processed_transcript,Diet,1.111789905,-0.270712492,2.4454e-106,1.8887e-103
ENSG00000227507,LTB,NA,protein_coding,Diet,3.756532506,-0.245813461,1.70541e-48,9.104140000000001e-46
ENSG00000228477,AL663070.2,NA,processed_pseudogene,Diet,1.154800329,-0.134989853,8.924510000000001e-26,3.68146e-23
ENSG00000229215,HLA-A,NA,protein_coding,Diet,6.119557923,-0.249391749,4.7118e-23,1.89579e-20
ENSG00000229320,KRT8P12,NA,processed_transcript,Diet,4.830898904,-0.263625211,3.34756e-4,0.070651091
ENSG00000229493,HLA-DQB2,NA,protein_coding,Diet,0.706794189,-0.359641978,4.96155e-62,2.85887e-59
ENSG00000229586,TNPO1P3,NA,processed_pseudogene,Diet,3.517148622,-0.143264769,4.78386e-16,1.57872e-13
ENSG00000229754,CXCR2P1,NA,processed_transcript,Diet,2.89091134,-0.247164274,1.25806e-16,4.22861e-14
ENSG00000233216,AL357373.1,NA,processed_pseudogene,Diet,1.357804366,-0.124502704,3.56428e-15,1.06931e-12
ENSG00000233312,C4B_2,NA,protein_coding,Diet,6.463959737,-0.326769167,2.02941e-15,6.13912e-13
ENSG00000235222,MSH5,NA,protein_coding,Diet,4.411073502,-0.453253164,2.71398e-11,7.6968800000000008e-09
ENSG00000236014,VPS52,NA,protein_coding,Diet,5.891581551,-0.096790719,9.27237e-6,0.002229115
ENSG00000236632,HLA-E,NA,protein_coding,Diet,2.46300735,-0.303805853,8.13488e-37,3.8351199999999996e-34
ENSG00000243897,EGFL8,NA,protein_coding,Diet,1.474541157,-0.374920108,1.2544999999999999e-145,1.1106999999999999e-142
ENSG00000244062,AC080128.1,NA,processed_pseudogene,Diet,1.762579309,-0.122556547,2.75341e-8,7.19075e-6
ENSG00000244444,EGFL8,NA,protein_coding,Diet,0.969321222,-0.077784421,1.60064e-13,4.72397e-11
ENSG00000251493,FOXD1,NA,protein_coding,Diet,1.589093947,-0.563149686,2.729e-211,2.8304999999999996e-208
ENSG00000251705,RNA5-8SP6,NA,rRNA_pseudogene,Diet,1.416597744,-0.252810634,0,0
ENSG00000268758,ADGRE4P,NA,processed_transcript,Diet,4.085329627,-0.195974535,1.13882e-4,0.024754571
ENSG00000271687,MTND5P10,NA,processed_pseudogene,Diet,0.701102282,-0.268128234,0,0
ENSG00000273079,GRIN2B,NA,protein_coding,Diet,3.82963544,-0.789174492,2.6519999999999997e-218,2.8314999999999996e-215
ENSG00000273984,MUC4,NA,protein_coding,Diet,3.119101731,-0.447024546,1.1358999999999999e-123,9.589e-121
ENSG00000274669,LILRB1,NA,protein_coding,Diet,2.444283659,-0.124640464,5.3332800000000005e-18,1.84384e-15
ENSG00000275396,PMCHL2,NA,processed_transcript,Diet,2.249605668,-0.099214849,3.70531e-17,1.25707e-14
ENSG00000277632,CCL3,NA,protein_coding,Diet,0.809944367,-0.668485474,0,0
ENSG00000277649,TIMM22,NA,protein_coding,Diet,2.080318109,-0.647219204,2.50362e-33,1.09499e-30
ENSG00000278303,MUC4,NA,protein_coding,Diet,3.103772833,-0.424918632,1.5569000000000001e-121,1.2845e-118
ENSG00000278466,MUC2,NA,protein_coding,Diet,3.327410304,-0.61232179900000006,1.5949e-134,1.3784999999999998e-131
ENSG00000278501,TIMM22,NA,protein_coding,Diet,2.080318109,-0.647219204,2.50362e-33,1.09499e-30
ENSG00000279263,OR2L8,NA,protein_coding,Diet,1.250844037,-0.100713267,5.2971e-9,1.4139e-6
ENSG00000280840,PMCHL2,NA,processed_transcript,Diet,2.249605668,-0.099214849,3.70531e-17,1.25707e-14
ENSG00000282482,IGHV2-70D,NA,IG_V_gene,Diet,1.117139024,-0.202087384,1.27163e-75,8.24314e-73
ENSG00000283158,MUC5AC,NA,protein_coding,Diet,2.64222294,-0.891421048,0,0
ENSG00000284527,KRT16P1,NA,processed_transcript,Diet,0.948552396,-0.120100555,1.02046e-20,3.7417700000000004e-18
ENSG00000288547,C3orf36,NA,protein_coding,Diet,3.155638703,-0.341403031,0,0
